company_id,company_name,month,cash_in,cash_out_operating,cash_out_card_payments,cash_out_payroll,cash_out_total,net_cash_flow
code_and_coffee,Code & Coffee GmbH,2022-01,29463.00,11170.31,914.00,2688.00,14772.31,14690.69
code_and_coffee,Code & Coffee GmbH,2022-02,26492.76,8467.13,0.00,7002.00,15469.13,11023.63
code_and_coffee,Code & Coffee GmbH,2022-03,20340.57,6563.43,533.00,7063.00,14159.43,6181.14
code_and_coffee,Code & Coffee GmbH,2022-04,19100.94,5982.36,1570.00,6827.00,14379.36,4721.58
code_and_coffee,Code & Coffee GmbH,2022-05,20329.90,5975.69,923.00,7074.00,13972.69,6357.21
code_and_coffee,Code & Coffee GmbH,2022-06,18991.24,7471.28,943.00,6996.00,15410.28,3580.96
code_and_coffee,Code & Coffee GmbH,2022-07,24465.46,7838.98,0.00,6795.00,14633.98,9831.48
code_and_coffee,Code & Coffee GmbH,2022-08,23579.69,8493.00,774.00,6822.00,16089.00,7490.69
code_and_coffee,Code & Coffee GmbH,2022-09,31987.51,8925.53,0.00,6830.00,15755.53,16231.98
code_and_coffee,Code & Coffee GmbH,2022-10,31204.50,9169.99,898.00,6985.00,17052.99,14151.51
code_and_coffee,Code & Coffee GmbH,2022-11,29070.59,9774.69,0.00,7005.00,16779.69,12290.90
code_and_coffee,Code & Coffee GmbH,2022-12,30012.76,9263.25,888.00,7089.00,17240.25,12772.51
code_and_coffee,Code & Coffee GmbH,2023-01,32222.53,10415.08,1016.00,6914.00,18345.08,13877.45
code_and_coffee,Code & Coffee GmbH,2023-02,25817.27,16068.53,0.00,6951.00,23019.53,2797.74
code_and_coffee,Code & Coffee GmbH,2023-03,21780.27,6607.20,720.00,7003.00,14330.20,7450.07
code_and_coffee,Code & Coffee GmbH,2023-04,18920.00,6399.21,945.00,6821.00,14165.21,4754.79
code_and_coffee,Code & Coffee GmbH,2023-05,21632.98,5659.74,462.00,7091.00,13212.74,8420.24
code_and_coffee,Code & Coffee GmbH,2023-06,17932.00,27017.49,0.00,6872.00,33889.49,-15957.49
code_and_coffee,Code & Coffee GmbH,2023-07,23166.00,12983.76,1268.00,6895.00,21146.76,2019.24
code_and_coffee,Code & Coffee GmbH,2023-08,27080.83,8542.01,0.00,6901.00,15443.01,11637.82
code_and_coffee,Code & Coffee GmbH,2023-09,33902.74,8770.25,486.00,6950.00,16206.25,17696.49
code_and_coffee,Code & Coffee GmbH,2023-10,32560.04,9208.49,1321.00,7014.00,17543.49,15016.55
code_and_coffee,Code & Coffee GmbH,2023-11,35777.37,9795.33,1485.00,7080.00,18360.33,17417.04
code_and_coffee,Code & Coffee GmbH,2023-12,29928.95,9959.28,0.00,6874.00,16833.28,13095.67
