company_id,company_name,month,employees_paid,total_gross,total_net,total_employer_cost
code_and_coffee,Code & Coffee GmbH,2022-02,4,7002.00,4739.46,8381.39
code_and_coffee,Code & Coffee GmbH,2022-03,4,7063.00,4784.82,8454.41
code_and_coffee,Code & Coffee GmbH,2022-04,4,6827.00,4618.20,8171.91
code_and_coffee,Code & Coffee GmbH,2022-05,4,7074.00,4733.29,8467.57
code_and_coffee,Code & Coffee GmbH,2022-06,4,6996.00,4680.80,8374.20
code_and_coffee,Code & Coffee GmbH,2022-07,4,6795.00,4548.37,8133.61
code_and_coffee,Code & Coffee GmbH,2022-08,4,6822.00,4566.47,8165.93
code_and_coffee,Code & Coffee GmbH,2022-09,4,6830.00,4570.34,8175.51
code_and_coffee,Code & Coffee GmbH,2022-10,4,6985.00,4673.54,8361.04
code_and_coffee,Code & Coffee GmbH,2022-11,4,7005.00,4742.98,8384.99
code_and_coffee,Code & Coffee GmbH,2022-12,4,7089.00,4744.21,8485.54
code_and_coffee,Code & Coffee GmbH,2023-01,4,6914.00,4685.55,8276.07
code_and_coffee,Code & Coffee GmbH,2023-02,4,6951.00,4712.43,8320.35
code_and_coffee,Code & Coffee GmbH,2023-03,4,7003.00,4687.52,8382.59
code_and_coffee,Code & Coffee GmbH,2023-04,4,6821.00,4566.45,8164.73
code_and_coffee,Code & Coffee GmbH,2023-05,4,7091.00,4745.68,8487.92
code_and_coffee,Code & Coffee GmbH,2023-06,4,6872.00,4653.82,8225.77
code_and_coffee,Code & Coffee GmbH,2023-07,4,6895.00,4617.87,8253.32
code_and_coffee,Code & Coffee GmbH,2023-08,4,6901.00,4615.72,8260.50
code_and_coffee,Code & Coffee GmbH,2023-09,4,6950.00,4705.61,8319.15
code_and_coffee,Code & Coffee GmbH,2023-10,4,7014.00,4694.69,8395.76
code_and_coffee,Code & Coffee GmbH,2023-11,4,7080.00,4735.35,8474.76
code_and_coffee,Code & Coffee GmbH,2023-12,4,6874.00,4656.34,8228.17
