horizon_step,flow_radius,balance_radius,calibration_paths,nominal_level
1,414.95800677308864,414.95800677308864,3,0.8
2,326.79863971291866,699.777142241659,3,0.8
3,3167.4478525622553,2556.736958671948,3,0.8
4,4490.576961023076,3477.1841203819827,3,0.8
5,2348.5387717790654,5825.722892161048,3,0.8
6,449.2747311766434,5378.686481512495,3,0.8
7,591.0586234526206,4787.627858059875,3,0.8
8,480.66622138270736,4312.758197105514,3,0.8
9,398.6648033497992,4409.370444350977,3,0.8
10,1032.8359009486157,4538.462230216685,3,0.8
11,1008.7214178391098,4718.204994065737,3,0.8
12,510.4172430083793,4207.787751057358,3,0.8
13,709.4726923926977,3498.3150586646602,3,0.8
14,575.2209613711377,2923.0940972935223,3,0.8
15,405.6994556703015,2521.330171961873,3,0.8
16,614.9801067995068,3136.31027876138,3,0.8
17,2080.4496898880025,3181.0260209348457,3,0.8
18,1745.2794568503905,4926.305477785236,3,0.8
19,545.0453872570881,4600.006001733769,3,0.8
20,703.8826423329449,5303.888644066714,3,0.8
21,318.6343782635919,4985.254265803122,3,0.8
22,360.1148317640422,4858.301784143491,3,0.8
23,701.8285926000917,4931.31174082205,3,0.8
24,360.94238237562456,5139.148568087063,3,0.8
25,230.34781444006228,4930.045067569395,3,0.8
26,234.65622084436973,4698.391297240958,3,0.8
27,715.2796900811152,3983.1116071598426,3,0.8
28,403.0285097329692,3636.983802263957,3,0.8
29,85.7386149524433,3564.232583011321,3,0.8
30,1141.4599896566456,3568.615327461572,3,0.8
31,269.5051239750453,3299.110203486527,3,0.8
32,321.8461393037969,3061.70174360717,3,0.8
33,1925.4002436025764,3091.8936460605,3,0.8
34,2833.1928649459537,2818.6032045845773,3,0.8
35,2268.5742187761007,5087.1774233606775,3,0.8
36,513.2081116947029,4963.681267562048,3,0.8
37,261.2400317297189,4702.441235832329,3,0.8
38,296.01295340167087,4406.428282430658,3,0.8
39,553.461876594707,4222.619692250413,3,0.8
40,8303.419472331658,8446.961518318813,3,0.8
41,413.717590619508,8860.67910893832,3,0.8
42,785.103939447754,8075.575169490567,3,0.8
43,244.1584264236741,8031.637628933927,3,0.8
44,587.4014275049847,7444.236201428942,3,0.8
45,238.59438491369997,7281.858953766443,3,0.8
46,192.215307947748,7089.6436458186945,3,0.8
47,868.0893699609245,6471.313375255022,3,0.8
48,1648.7884227990876,8120.101798054109,3,0.8
49,672.8456949063202,7656.543022606545,3,0.8
50,2903.5499186046504,7337.901857116909,3,0.8
51,137.0780107512013,7200.823846365708,3,0.8
52,1665.9975403113867,6861.80287976122,3,0.8
53,525.8203496928988,6335.982530068321,3,0.8
54,315.9913749232642,6317.43110775874,3,0.8
55,411.6410162604266,6416.196094260982,3,0.8
56,541.0348850246514,6253.183062981208,3,0.8
57,288.9665925277724,6420.1494388264,3,0.8
58,1096.7929337085466,5323.356505117854,3,0.8
59,184.8519070275495,5326.08386981934,3,0.8
60,266.9930672459727,5059.090802573368,3,0.8
61,477.48721434332754,4636.111876013425,3,0.8
62,2406.060306862599,7042.172182876024,3,0.8
63,270.07475236881936,7032.257226723499,3,0.8
64,1863.8956463051202,7020.423165971434,3,0.8
65,320.85770138620103,6804.3268472920445,3,0.8
66,2974.820466244715,6855.473410323054,3,0.8
67,452.544212743136,7308.01762306619,3,0.8
68,19535.040364450742,18731.37251280048,3,0.8
69,385.00281205941195,18346.36970074107,3,0.8
70,450.00920146425983,18016.818816745097,3,0.8
71,329.22980642060963,18096.68414568495,3,0.8
72,181.27231149985676,18277.956457184806,3,0.8
73,548.6984164403257,18205.048656507443,3,0.8
74,180.8734673138773,18149.51665050645,3,0.8
75,6747.288349626171,18487.560035865943,3,0.8
76,1401.1112511150307,19118.82528533327,3,0.8
77,351.60816384978295,19035.80416908205,3,0.8
78,1203.9748057580525,20239.7789748401,3,0.8
79,274.31517971491917,20514.09415455502,3,0.8
80,2150.493532177211,20359.480464511234,3,0.8
81,320.1958273370402,20408.49017353671,3,0.8
82,497.19949162260286,20254.31916702059,3,0.8
83,282.7090327775407,19971.61013424305,3,0.8
84,735.012840772402,19887.639693958372,3,0.8
85,1078.5267706123855,19776.85880326324,3,0.8
86,95.69785892586287,19851.89662402336,3,0.8
87,357.96048351147215,20023.132281878323,3,0.8
88,389.8232235496673,19633.309058328654,3,0.8
89,270.26320373372045,19873.521076605004,3,0.8
90,917.1759395673157,19455.4067698194,3,0.8
