model,family,fold,train_start,train_end,validation_start,validation_end,train_n,validation_n,status,error,MAE,RMSE,sMAPE,bias_actual_minus_pred,warnings,fit_seconds
naive,naive,1,2022-01-01,2023-01-05,2023-01-06,2023-04-05,370,90,ok,,977.1013333333333,2086.344358659156,67.0638749037911,-937.0415555555554,,0.00028166700212750584
naive,naive,2,2022-01-01,2023-04-05,2023-04-06,2023-07-04,460,90,ok,,767.7006666666673,2579.007253873303,58.14178114383235,-492.0051111111113,,0.0002492090061423369
naive,naive,3,2022-01-01,2023-07-04,2023-07-05,2023-10-02,550,90,ok,,752.8110000000003,1899.1330755914805,50.54528177682569,-350.66677777777755,,0.00044004200026392937
mean,mean,1,2022-01-01,2023-01-05,2023-01-06,2023-04-05,370,90,ok,,908.7633273273275,1866.1425293310617,91.49833650136242,-87.76123123123112,,0.000389375003578607
mean,mean,2,2022-01-01,2023-04-05,2023-04-06,2023-07-04,460,90,ok,,827.6078666666672,2556.766381299651,77.57468699501392,-357.5541111111113,,0.00030008299654582515
mean,mean,3,2022-01-01,2023-07-04,2023-07-05,2023-10-02,550,90,ok,,984.5824521212121,1868.5179504141977,111.89794808138991,87.29307676767706,,0.00025491599808447063
moving_average_28d,moving_average,1,2022-01-01,2023-01-05,2023-01-06,2023-04-05,370,90,ok,,817.0653333333333,1879.7904969017745,67.62589743365326,-242.54155555555545,,0.0002344999957131222
moving_average_28d,moving_average,2,2022-01-01,2023-04-05,2023-04-06,2023-07-04,460,90,ok,,870.4908730158734,2547.076883142191,93.93455208379731,-279.98439682539754,,0.00022950000129640102
moving_average_28d,moving_average,3,2022-01-01,2023-07-04,2023-07-05,2023-10-02,550,90,ok,,1620.0590952380956,2091.875307944191,186.81563207999028,944.5650079365089,,0.00021529199875658378
seasonal_naive_7d,seasonal_naive,1,2022-01-01,2023-01-05,2023-01-06,2023-04-05,370,90,ok,,863.6679999999999,2004.4599381872852,61.07019785546568,-614.786,,0.00022695799998473376
seasonal_naive_7d,seasonal_naive,2,2022-01-01,2023-04-05,2023-04-06,2023-07-04,460,90,ok,,984.2388888888902,2694.6710636765224,71.09234337870546,-879.5322222222231,,0.0002262920024804771
seasonal_naive_7d,seasonal_naive,3,2022-01-01,2023-07-04,2023-07-05,2023-10-02,550,90,ok,,793.0665555555557,1874.86422510627,62.813213181057115,-253.74455555555534,,0.0002174580004066229
SARIMA_100_100_7,sarima,1,2022-01-01,2023-01-05,2023-01-06,2023-04-05,370,90,ok,,879.7145796536306,1867.3124607222317,84.23118706259865,-130.9432251049396,,0.03504758299823152
SARIMA_100_100_7,sarima,2,2022-01-01,2023-04-05,2023-04-06,2023-07-04,460,90,ok,,810.3313682041085,2558.8845217115927,72.19688786326476,-394.07329110594185,,0.04079237500263844
SARIMA_100_100_7,sarima,3,2022-01-01,2023-07-04,2023-07-05,2023-10-02,550,90,ok,,976.8134846774593,1872.4318414270294,108.64728219911,71.06238408632504,,0.04304608300299151
Prophet_flat_calendar,prophet,1,2022-01-01,2023-01-05,2023-01-06,2023-04-05,370,90,ok,,524.9855802390329,1130.5024994594344,54.17775589241586,-71.48055294504236,,0.026110124999831896
Prophet_flat_calendar,prophet,2,2022-01-01,2023-04-05,2023-04-06,2023-07-04,460,90,ok,,526.0579708431136,2122.5582910568082,58.19537775363954,-216.1711863313267,,0.026989707999746315
Prophet_flat_calendar,prophet,3,2022-01-01,2023-07-04,2023-07-05,2023-10-02,550,90,ok,,542.6423381804277,1112.6625740585732,60.14784451793944,74.61828045338245,,0.030337582997162826
