date,period_end,company_id,currency,frequency,scenario_id,model,as_of_date,horizon_step,forecasted_net_cash_flow,starting_cash_balance,projected_cash_balance,net_flow_lower,net_flow_upper,cash_balance_lower,cash_balance_upper,uncertainty_method,nominal_level,calibration_paths,uncertainty_is_calibrated
2024-01-01,2024-01-01,code_and_coffee,EUR,D,baseline,Prophet_flat_calendar,2023-12-31,1,681.1351830601784,234549.89,235231.0251830602,266.17717628708976,1096.093189833267,234816.06717628712,235645.9831898333,absolute_backtest_error_envelope_exploratory,0.8,3,False
2024-01-02,2024-01-02,code_and_coffee,EUR,D,baseline,Prophet_flat_calendar,2023-12-31,2,649.3839163049053,234549.89,235880.4090993651,322.5852765919866,976.1825560178239,235180.63195712343,236580.18624160675,absolute_backtest_error_envelope_exploratory,0.8,3,False
2024-01-03,2024-01-03,code_and_coffee,EUR,D,baseline,Prophet_flat_calendar,2023-12-31,3,728.0972754213593,234549.89,236608.50637478646,-2439.350577140896,3895.5451279836147,234051.76941611452,239165.2433334584,absolute_backtest_error_envelope_exploratory,0.8,3,False
2024-01-04,2024-01-04,code_and_coffee,EUR,D,baseline,Prophet_flat_calendar,2023-12-31,4,756.8372008471499,234549.89,237365.3435756336,-3733.7397601759267,5247.414161870226,233888.15945525162,240842.52769601558,absolute_backtest_error_envelope_exploratory,0.8,3,False
2024-01-05,2024-01-05,code_and_coffee,EUR,D,baseline,Prophet_flat_calendar,2023-12-31,5,731.154951115508,234549.89,238096.4985267491,-1617.3838206635573,3079.6937228945735,232270.77563458806,243922.22141891017,absolute_backtest_error_envelope_exploratory,0.8,3,False
2024-01-06,2024-01-06,code_and_coffee,EUR,D,baseline,Prophet_flat_calendar,2023-12-31,6,806.2749220854082,234549.89,238902.77344883452,357.0001909087648,1255.5496532620516,233524.08696732201,244281.45993034702,absolute_backtest_error_envelope_exploratory,0.8,3,False
2024-01-07,2024-01-07,code_and_coffee,EUR,D,baseline,Prophet_flat_calendar,2023-12-31,7,747.1121913361146,234549.89,239649.88564017063,156.053567883494,1338.1708147887352,234862.25778211074,244437.51349823052,absolute_backtest_error_envelope_exploratory,0.8,3,False
2024-01-08,2024-01-08,code_and_coffee,EUR,D,baseline,Prophet_flat_calendar,2023-12-31,8,492.1132266808367,234549.89,240141.99886685147,11.44700529812934,972.7794480635441,235829.24066974595,244454.757063957,absolute_backtest_error_envelope_exploratory,0.8,3,False
2024-01-09,2024-01-09,code_and_coffee,EUR,D,baseline,Prophet_flat_calendar,2023-12-31,9,628.1361669554193,234549.89,240770.1350338069,229.47136360562013,1026.8009703052185,236360.76458945594,245179.50547815787,absolute_backtest_error_envelope_exploratory,0.8,3,False
2024-01-10,2024-01-10,code_and_coffee,EUR,D,baseline,Prophet_flat_calendar,2023-12-31,10,706.5454650623592,234549.89,241476.68049886925,-326.29043588625655,1739.381366010975,236938.21826865256,246015.14272908593,absolute_backtest_error_envelope_exploratory,0.8,3,False
