month,net_cash_flow,daily_net_flow_sum,difference_eur,checked,note
2022-01-01,14690.69,14690.689999999999,-1.8189894035458565e-12,True,reconciled
2022-02-01,11023.63,11023.630000000001,1.8189894035458565e-12,True,reconciled
2022-03-01,6181.14,6181.139999999999,-9.094947017729282e-13,True,reconciled
2022-04-01,4721.58,4721.580000000002,1.8189894035458565e-12,True,reconciled
2022-05-01,6357.21,6357.209999999999,-9.094947017729282e-13,True,reconciled
2022-06-01,3580.96,3580.959999999999,-9.094947017729282e-13,True,reconciled
2022-07-01,9831.48,9831.480000000003,3.637978807091713e-12,True,reconciled
2022-08-01,7490.69,7490.690000000002,2.7284841053187847e-12,True,reconciled
2022-09-01,16231.98,16231.979999999996,-3.637978807091713e-12,True,reconciled
2022-10-01,14151.51,14151.509999999995,-5.4569682106375694e-12,True,reconciled
2022-11-01,12290.9,12290.900000000009,9.094947017729282e-12,True,reconciled
2022-12-01,12772.51,12772.509999999995,-5.4569682106375694e-12,True,reconciled
2023-01-01,13877.45,13877.450000000012,1.0913936421275139e-11,True,reconciled
2023-02-01,2797.74,2797.7399999999907,-9.094947017729282e-12,True,reconciled
2023-03-01,7450.07,7450.070000000007,7.275957614183426e-12,True,reconciled
2023-04-01,4754.79,4754.789999999979,-2.091837814077735e-11,True,reconciled
2023-05-01,8420.24,8420.24000000002,2.000888343900442e-11,True,reconciled
2023-06-01,-15957.49,-15957.49000000002,-2.000888343900442e-11,True,reconciled
2023-07-01,2019.24,2019.2400000000198,1.978150976356119e-11,True,reconciled
2023-08-01,11637.82,11637.820000000007,7.275957614183426e-12,True,reconciled
2023-09-01,17696.49,17696.48999999999,-1.0913936421275139e-11,True,reconciled
2023-10-01,15016.55,15016.549999999988,-1.0913936421275139e-11,True,reconciled
2023-11-01,17417.04,17417.040000000008,7.275957614183426e-12,True,reconciled
2023-12-01,13095.67,13095.670000000013,1.2732925824820995e-11,True,reconciled
