model,family,fold,train_start,train_end,validation_start,validation_end,train_n,validation_n,status,error,MAE,RMSE,sMAPE,bias_actual_minus_pred,warnings,fit_seconds
naive,naive,1,2022-01-01,2022-12-01,2023-01-01,2023-03-01,12,3,ok,,5467.383333333334,6558.589698761465,63.018946604813294,-4730.756666666667,,0.0001535419942229055
naive,naive,2,2022-01-01,2023-03-01,2023-04-01,2023-06-01,15,3,ok,,9024.336666666666,13615.183059864943,85.46451657120429,-8377.556666666665,,0.00011658299627015367
naive,naive,3,2022-01-01,2023-06-01,2023-07-01,2023-09-01,18,3,ok,,26408.67333333333,27186.11364483346,200.0,26408.67333333333,,9.774999489309266e-05
mean,mean,1,2022-01-01,2022-12-01,2023-01-01,2023-03-01,12,3,ok,,4524.443333333334,4924.672911118057,57.95626010100703,-1901.9366666666654,,9.212499571731314e-05
mean,mean,2,2022-01-01,2023-03-01,2023-04-01,2023-06-01,15,3,ok,,10490.789333333332,15008.21158189085,93.29308782403727,-10490.789333333332,,8.870899910107255e-05
mean,mean,3,2022-01-01,2023-06-01,2023-07-01,2023-09-01,18,3,ok,,6500.077407407407,6972.593905526581,78.2139609609589,2636.345555555555,,9.1125002654735e-05
moving_average_3m,moving_average,1,2022-01-01,2022-12-01,2023-01-01,2023-03-01,12,3,ok,,5567.093333333333,6777.521676616017,63.415867654963556,-5029.886666666666,,8.833299943944439e-05
moving_average_3m,moving_average,2,2022-01-01,2023-03-01,2023-04-01,2023-06-01,15,3,ok,,9221.564444444444,13987.03042922343,85.3236614853694,-8969.24,,9.162499918602407e-05
moving_average_3m,moving_average,3,2022-01-01,2023-06-01,2023-07-01,2023-09-01,18,3,ok,,11378.67,13082.082359165492,200.0,11378.67,,8.454199996776879e-05
seasonal_naive_12m,seasonal_naive,1,2022-01-01,2022-12-01,2023-01-01,2023-03-01,12,3,ok,,3436.019999999999,4828.278124224687,47.78093861124391,-2590.0666666666666,,8.737500320421532e-05
seasonal_naive_12m,seasonal_naive,2,2022-01-01,2023-03-01,2023-04-01,2023-06-01,15,3,ok,,7211.563333333334,11343.253855449357,76.2074091230029,-5814.07,,8.708300447324291e-05
seasonal_naive_12m,seasonal_naive,3,2022-01-01,2023-06-01,2023-07-01,2023-09-01,18,3,ok,,4474.626666666667,5176.052891106633,61.27926324893921,-733.5333333333325,,8.445799903711304e-05
ARIMA_100,sarima,1,2022-01-01,2022-12-01,2023-01-01,2023-03-01,12,3,ok,,4624.241540515475,5325.682429732071,57.8624228304461,-3149.41134435306,,0.6875961659970926
ARIMA_100,sarima,2,2022-01-01,2023-03-01,2023-04-01,2023-06-01,15,3,ok,,10210.436727864739,14940.171033163977,90.50062462832479,-10210.436727864739,,0.004064000000653323
ARIMA_100,sarima,3,2022-01-01,2023-06-01,2023-07-01,2023-09-01,18,3,ok,,7185.826542009214,7974.028476393103,128.35343365300452,7185.826542009214,,0.003557583004294429
SARIMA_100_100_12,sarima,1,2022-01-01,2022-12-01,2023-01-01,2023-03-01,12,3,failed,ValueError: Seasonal AR parameters need at least two cycles under this protocol.,,,,,,6.179200136102736e-05
SARIMA_100_100_12,sarima,2,2022-01-01,2023-03-01,2023-04-01,2023-06-01,15,3,failed,ValueError: Seasonal AR parameters need at least two cycles under this protocol.,,,,,,5.03330011270009e-05
SARIMA_100_100_12,sarima,3,2022-01-01,2023-06-01,2023-07-01,2023-09-01,18,3,failed,ValueError: Seasonal AR parameters need at least two cycles under this protocol.,,,,,,4.675000673159957e-05
Prophet_flat,prophet,1,2022-01-01,2022-12-01,2023-01-01,2023-03-01,12,3,ok,,4523.767382494801,4923.890098243238,57.951553909438715,-1899.9088141510663,'oneOf' deprecated - use 'one_of' | 'parseString' deprecated - use 'parse_string' | 'resetCache' deprecated - use 'reset_cache' | 'enablePackrat' deprecated - use 'enable_packrat',0.26870066699484596
Prophet_flat,prophet,2,2022-01-01,2023-03-01,2023-04-01,2023-06-01,15,3,ok,,10489.103785218067,15007.03342661361,93.28202290380482,-10489.103785218067,,0.022757582999474835
Prophet_flat,prophet,3,2022-01-01,2023-06-01,2023-07-01,2023-09-01,18,3,ok,,6501.117561804934,6973.774354480866,78.22938341503992,2639.4660187481336,,0.022033291999832727
Prophet_flat_yearly1,prophet,1,2022-01-01,2022-12-01,2023-01-01,2023-03-01,12,3,ok,,2852.1139449590114,4092.9253085620453,41.05067277316599,-1743.4590016787777,,0.021668082998075988
Prophet_flat_yearly1,prophet,2,2022-01-01,2023-03-01,2023-04-01,2023-06-01,15,3,ok,,8551.555287518639,12681.512555478646,87.56966214737398,-6047.426261274741,,0.022129208002297673
Prophet_flat_yearly1,prophet,3,2022-01-01,2023-06-01,2023-07-01,2023-09-01,18,3,ok,,4331.341404994106,4615.240876006421,54.71204290162505,2525.8718387208733,,0.02969041599862976
Prophet_flat_yearly1_pulse,prophet,1,2022-01-01,2022-12-01,2023-01-01,2023-03-01,12,3,ok,,2852.1139449590114,4092.9253085620453,41.05067277316599,-1743.4590016787777,,0.019856749997416046
Prophet_flat_yearly1_pulse,prophet,2,2022-01-01,2023-03-01,2023-04-01,2023-06-01,15,3,ok,,8551.555287518639,12681.512555478646,87.56966214737398,-6047.426261274741,,0.022068333993956912
Prophet_flat_yearly1_pulse,prophet,3,2022-01-01,2023-06-01,2023-07-01,2023-09-01,18,3,ok,,3979.4216771115866,4521.743438237964,53.6810429904787,-83.17117288099023,,0.050776666997990105
